-----------------------------------------------------------------------------
Skill Classifications
-----------------------------------------------------------------------------
0: Attack - Basic Attack Skills
1: Summons - Summons a monster to aid party in battle
2: Healing - Heals status effects
3: Recovery - Recovers hit points
4: Revive - Revive fallen allies
5: Defense - Increase ally defense
6: Support - Increase ally stats

A: Blaze - Fire-based damage to one enemy
B: Fireball - Fire-based damage to all enemies
C: Bang - Explosion-based damage
D: Infernos - Wind-based damage
E: Bolt - Thunder-based damage
F: IceBolt - Ice-based damage
G: Surround - Obscures party making it harder for enemy attacks to land
H: Sleep - Puts enemies to sleep preventing them from attacking
I: Beat - Knocks-out enemies in one hit
J: OddDance - Steals MP from enemies
K: StopSpell - Prevents enemies from casting spells
L: Panic - Strikes fear into enemies preventing them from attacking
M: Sap - Lowers enemy defense 
N: Slow - Lowers enemy agility
O: Sacrifice - Knocks-out enemies at the cost of the user's HP 
P: MegaMagic - Inflicts massive amounts of magic-based damage
Q: Flame - Breath-based fire damage
R: Blizzard - Breath-based ice damage
S: Poison - Poisons enemies, slowly sapping HP
T: Paralysis - Immobilizes enemies preventing them from attacking
U: Curse - Lays a curse on enemies, slowly sapping HP
V: LoseATurn - Prevents enemies from taking their turn
W: DanceTrap - Causes enemies to uncontrollably dance, costing them one or more turns.
X: BreathSeal - Prevents enemies from using breath-based attacks
Y: Allied - Summons allies to attack enemies
Z: GigaSlash - Inflicts massive amounts of physical damage


-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Skill Name	|	Classification	|	Req. Level	|	Req. Stats										|	Description 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Ahhh		|	V				|	10			|	ATK  60 AGL  60									|	Female foe: Stops action for 1 turn Male foe: Damage to one foe
Antidote	|	2				|	 5			|	MPs  21 INT  20									|	Cures poison to one ally
Bang		|	C				|	 4			|	MPs  13 INT  26									|	20-30 Explosion Damage to all foes
Barrier		|	5				|	18			|	MPs  76 INT  70									|	Reduces Fire and Ice breath damage by 50% for the rest of the fight
BazooCall	|	1				|	35			|	MPs 160 INT 180									|	Summons a Bazoo that uses IceStorm,Hellblast,DeMagic to fight with
BeastCut	|	0				|	12			|	HPs  62 ATK  68 AGL  72							|	50% more Damage to beasts Normal against other foes
Beat		|	I				|	16			|	MPs  58 INT  76									|	Instant death to one foe
BeDragon	|	6				|	28			|	MPs 124 INT 160									|	Transforms you into a dragon for the rest of the fight with skills: SnowStorm,Scorching,DeMagic
Beserker	|	0				|	14			|	HPs  98 ATK  84 DEF  84							|	Normal attack with increased Damage and defence at 0
BiAttack	|	0				|	19			|	HPs  88 ATK  98 AGL 112							|	Attacks twice one turn with 75% strength
BigBang		|	A				|	36			|	HPs 196 MPs 196 INT 208							|	300-400 Explosion Damage to all foes
BigTrip		|	V				|	12			|	HPs  66 ATK  63 AGL  48							|	Trips all foes and stops their actions for 1 turn
BirdBlow	|	0				|	12			|	HPs  62 ATK  68 AGL  72							|	50% more Damage to birds Normal against other foes
BladeD		|	5				|	14			|	HPs  98 ATK  84 DEF  84 AGL  84					|	Halves the Damage inflicted by the foe from physical attacks and reflects the Damage taken 50% of the time
Blaze		|	A				|	 1			|	MPs   7 INT  20									|	12-15 Fire Damage to one foe
BlazeAir	|	Q				|	10			|	HPs  70											|	32-48 Fire Damage to all foes
Blazemore	|	A				|	13			|	MPs  46 INT  64									|	70-90 Fire Damage to one foe
Blazemost	|	A				|	28			|	MPs 112 INT 146									|	180-200 Fire Damage to one foe
Blizzard	|	F				|	25			|	MPs  88 INT 110									|	80-104 Ice Damage to all foes
Bolt		|	E				|	 6			|	MPs  20 INT  35									|	35-50 Lightning Damage to all foes
BoltSlash	|	E				|	11			|	HPs  77 MPs  34 ATK  66 INT  42					|	Normal attack based on Lightning resistance of the foe
Boom		|	C				|	14			|	MPs  50 INT  68									|	52-68 Explosion Damage to all foes
Bounce		|	5				|	20			|	MPs  84 INT  78									|	Reflects spells back at opponents
Branching	|	0				|	12			|	HPs  62 ATK  68 AGL  72							|	50% more damage to plants Normal against other foes
CallHelp	|	Y				|	17			|	HPs  84 MPs  42 AGL  68 INT  54					|	Calls randomly allies to help,level based Damage 
Chance		|	6				|	40			|	MPs 224 INT 236									|	Casts a random effect - Can be good or bad
ChargeUP	|	6				|	14			|	HPs  98 DEF  84									|	Additional Damage next turn.
CleanCut	|	0				|	12			|	HPs  62 ATK  68 AGL  72							|	50% more damage to Materials Normal against other foes
Cover		|	5				|	 5			|	HPs  35 DEF  30 AGL  30							|	Takes the attack against one ally
Curse		|	U				|	15			|	MPs  65 AGL  82 INT  82							|	Curses all foes,random effects
CurseOff	|	2				|	 7			|	MPs  27 INT  24									|	Remove the curse from one ally
DanceShut	|	W				|	16			|	HPs 100 AGL 120									|	Suspends all foes Dance attacks
DeChaos		|	2				|	 6			|	MPs  24 INT  22									|	Cures confusion
Defeat		|	I				|	24			|	MPs  80 INT  98									|	Instant death to all foes
Defence		|	M				|	 8			|	MPs  36 INT  32									|	Decreases defense of all foes by 50%
